iter	RMSE
0	1.010674905
1	0.9039760767
2	0.8235467314
3	0.771382827
4	0.717334236
5	0.6817110263
6	0.6574879361
7	0.6348994497
8	0.6207624879
9	0.6106856152
10	0.6004097104
11	0.5917174068
12	0.5820749611
13	0.571766991
14	0.5653409671
15	0.5610296535
16	0.5573273654
17	0.5533406888
18	0.5478544913
19	0.5458953316
20	0.5399317683
21	0.5359047209
22	0.5331125707
23	0.5296547237
24	0.5263587801
25	0.5250801976
26	0.5235213181
27	0.5212700998
28	0.519586259
29	0.5168024316
30	0.5136412637
31	0.5113648128
32	0.5090017539
33	0.5076177946
34	0.5052664548
35	0.5033973689
36	0.5020351952
37	0.5000427185
38	0.4977305025
39	0.4957239498
40	0.4936569961
41	0.4920218207
42	0.4899360048
43	0.4886519507
44	0.4873055445
45	0.4844743883
46	0.4826849765
47	0.4808578118
48	0.4798082503
49	0.4787025129
50	0.4774091496
51	0.4759664199
52	0.4742222955
53	0.4731123631
54	0.4718402051
55	0.4710285374
56	0.4692300618
57	0.4674647997
58	0.4663145727
59	0.4653756408
60	0.4640491213
61	0.462868191
62	0.4599116091
63	0.4590414523
64	0.458174499
65	0.4572860784
66	0.4561835107
67	0.4540171904
68	0.4524356655
69	0.4513794639
70	0.4506539158
71	0.4491675072
72	0.4482771014
73	0.4469980298
74	0.4463252651
75	0.4450760619
76	0.4438982728
77	0.4430157527
78	0.4418722038
79	0.4409649652
80	0.4402811971
81	0.4392011123
82	0.4385099498
83	0.4378134096
84	0.4367828542
85	0.436037003
86	0.4354541449
87	0.4349806035
88	0.4332021477
89	0.4326208774
90	0.4316536612
91	0.4308569219
92	0.4296967621
93	0.4288008138
94	0.4280426785
95	0.4274281744
96	0.4265707872
97	0.4249277668
98	0.4241077373
99	0.4235535786
100	0.4229698333
101	0.4223059775
102	0.4216024675
103	0.4207825264
104	0.4203502299
105	0.4195592345
106	0.4188799187
107	0.4184339669
108	0.4179750223
109	0.4173355421
110	0.4166710275
111	0.4161237297
112	0.4157320494
113	0.4152327403
114	0.4144811226
115	0.4139013229
116	0.4134460377
117	0.4128462945
118	0.4122631703
119	0.4116839631
120	0.4110556389
121	0.4099743573
122	0.4087313436
123	0.4081187474
124	0.4073084194
125	0.4067204071
126	0.4062781254
127	0.4057773366
128	0.4051449692
129	0.4043894985
130	0.4039658122
131	0.4030291786
132	0.4026737775
133	0.4022133032
134	0.4013337346
135	0.40100791
136	0.4003833954
137	0.399995379
138	0.3993659289
139	0.3989902393
140	0.3984006723
141	0.3979524351
142	0.3975906676
143	0.3967988487
144	0.3963648484
145	0.3958948992
146	0.3953773701
147	0.3949817085
148	0.3944901696
149	0.3939186387
150	0.3934782331
151	0.3929755712
152	0.3926357571
153	0.3923264171
154	0.3914262527
155	0.390908812
156	0.3904987886
157	0.3900527465
158	0.38955355
159	0.3889507688
160	0.3886858475
161	0.3882921315
162	0.3876600863
163	0.3872525527
164	0.3866885316
165	0.3862532443
166	0.3857759017
167	0.3853615106
168	0.3850597701
169	0.3845689746
170	0.3838947298
171	0.3832862983
172	0.3827422582
173	0.3822733748
174	0.3817786677
175	0.3812896709
176	0.3805910697
177	0.3800850693
178	0.3794970223
179	0.378985528
180	0.3783463728
181	0.3779441134
182	0.3775834338
183	0.3772362805
184	0.3770081225
185	0.3766385491
186	0.3760619717
187	0.3756127143
188	0.3752826961
189	0.3747019966
190	0.3741330113
191	0.3738071633
192	0.3733173715
193	0.3729240046
194	0.372462873
195	0.3720430948
196	0.3715956431
197	0.3710478019
198	0.3707092343
199	0.3703738583
