iter	Passed	Remaining
0	99	19764
1	101	10066
2	105	6895
3	107	5269
4	110	4324
5	113	3678
6	116	3208
7	119	2876
8	122	2592
9	125	2383
10	128	2208
11	130	2049
12	134	1936
13	137	1825
14	140	1738
15	144	1657
16	146	1575
17	149	1514
18	152	1453
19	154	1394
20	158	1350
21	161	1304
22	164	1264
23	167	1226
24	169	1187
25	173	1157
26	175	1126
27	178	1093
28	181	1069
29	184	1042
30	186	1017
31	190	1001
32	193	979
33	196	961
34	199	939
35	201	918
36	205	903
37	207	885
38	211	872
39	213	855
40	216	838
41	219	826
42	221	810
43	224	795
44	227	784
45	230	770
46	232	757
47	236	747
48	238	734
49	241	724
50	244	714
51	246	702
52	250	694
53	253	684
54	255	674
55	258	665
56	261	655
57	263	645
58	266	637
59	269	627
60	271	618
61	274	611
62	276	602
63	279	593
64	282	586
65	284	578
66	287	569
67	290	563
68	292	555
69	294	547
70	297	541
71	300	533
72	302	526
73	305	520
74	307	513
75	310	505
76	312	499
77	315	493
78	317	486
79	320	481
80	323	474
81	325	467
82	327	461
83	330	455
84	332	449
85	334	443
86	337	437
87	339	431
88	341	425
89	344	420
90	346	415
91	348	409
92	351	404
93	354	399
94	356	393
95	358	388
96	361	383
97	363	378
98	365	372
99	368	368
100	370	363
101	372	357
102	374	352
103	377	348
104	379	343
105	381	338
106	384	334
107	386	329
108	389	324
109	391	320
110	394	315
111	396	311
112	398	306
113	401	302
114	403	298
115	405	293
116	408	289
117	410	285
118	412	280
119	415	276
120	417	272
121	419	268
122	422	264
123	425	260
124	427	256
125	429	252
126	432	248
127	434	244
128	436	240
129	439	236
130	441	232
131	444	228
132	446	224
133	448	221
134	451	217
135	453	213
136	455	209
137	459	206
138	461	202
139	463	198
140	466	195
141	468	191
142	470	187
143	473	184
144	475	180
145	478	176
146	480	173
147	483	169
148	485	166
149	488	162
150	490	159
151	492	155
152	495	152
153	497	148
154	500	145
155	502	141
156	504	138
157	507	134
158	509	131
159	512	128
160	514	124
161	516	121
162	518	117
163	521	114
164	523	111
165	525	107
166	528	104
167	531	101
168	533	97
169	536	94
170	538	91
171	540	88
172	543	84
173	545	81
174	548	78
175	550	75
176	552	71
177	555	68
178	557	65
179	560	62
180	563	59
181	565	55
182	568	52
183	570	49
184	572	46
185	575	43
186	577	40
187	580	37
188	582	33
189	585	30
190	587	27
191	589	24
192	592	21
193	594	18
194	596	15
195	599	12
196	602	9
197	604	6
198	608	3
199	610	0
